"LANDING_YEAR","AGENCY_CODE","MANAGEMENT_GROUP_CODE","COMPLEX","PACFIN_SPECIES_COMMON_NAME","PACFIN_SPECIES_CODE","CCA_ROUND_WEIGHT_MTONS","CCA_ROUND_WEIGHT_PPP","CCA_EXVESSEL_REVENUE","CCA_CONFIDENTIAL_FLAG","ERA_ROUND_WEIGHT_MTONS","ERA_ROUND_WEIGHT_PPP","ERA_EXVESSEL_REVENUE","ERA_CONFIDENTIAL_FLAG","BGA_ROUND_WEIGHT_MTONS","BGA_ROUND_WEIGHT_PPP","BGA_EXVESSEL_REVENUE","BGA_CONFIDENTIAL_FLAG","BDA_ROUND_WEIGHT_MTONS","BDA_ROUND_WEIGHT_PPP","BDA_EXVESSEL_REVENUE","BDA_CONFIDENTIAL_FLAG","SFA_ROUND_WEIGHT_MTONS","SFA_ROUND_WEIGHT_PPP","SFA_EXVESSEL_REVENUE","SFA_CONFIDENTIAL_FLAG","MNA_ROUND_WEIGHT_MTONS","MNA_ROUND_WEIGHT_PPP","MNA_EXVESSEL_REVENUE","MNA_CONFIDENTIAL_FLAG","MRA_ROUND_WEIGHT_MTONS","MRA_ROUND_WEIGHT_PPP","MRA_EXVESSEL_REVENUE","MRA_CONFIDENTIAL_FLAG","SBA_ROUND_WEIGHT_MTONS","SBA_ROUND_WEIGHT_PPP","SBA_EXVESSEL_REVENUE","SBA_CONFIDENTIAL_FLAG","LAA_ROUND_WEIGHT_MTONS","LAA_ROUND_WEIGHT_PPP","LAA_EXVESSEL_REVENUE","LAA_CONFIDENTIAL_FLAG","SDA_ROUND_WEIGHT_MTONS","SDA_ROUND_WEIGHT_PPP","SDA_EXVESSEL_REVENUE","SDA_CONFIDENTIAL_FLAG","CA2_ROUND_WEIGHT_MTONS","CA2_ROUND_WEIGHT_PPP","CA2_EXVESSEL_REVENUE","CA2_CONFIDENTIAL_FLAG","TOTAL_ROUND_WEIGHT_MTONS","TOTAL_ROUND_WEIGHT_PPP","TOTAL_EXVESSEL_REVENUE","TOTAL_CONFIDENTIAL_FLAG"
"1981","C","CPEL","....","PACIFIC HERRING","PHRG",,,,"*",,,,"*",,,,"",268.4,.62,368393,"",5520.8,.35,4293060,"",125.5,.12,34176,"",,,,"",,,,"",,,,"*",,,,"",,,,"",5914.7,,4695629,"*"
"1981","C","CPEL","WETF","CHUB MACKEREL","CMCK",,,,"",,,,"",,,,"*",,,,"*",,,,"",1355.8,.07,221510,"",.4,.21,199,"",4871.1,.09,1003348,"",29017.3,.09,6014599,"",10.9,.31,7565,"",,,,"*",35255.5,,7247221,"*"
"1981","C","CPEL","WETF","JACK MACKEREL","JMCK",,,,"",,,,"",,,,"*",,,,"",,,,"*",211.5,.1,45187,"",0,.2,9,"",2847.4,.09,584213,"",14705.3,.09,3019224,"",11.8,.16,4063,"",,,,"",17776,,3652696,"*"
"1981","C","CPEL","WETF","MARKET SQUID","MSQD",1.2,.21,537,"",.4,.16,126,"",,,,"*",,,,"*",,,,"",12822.6,.14,3897930,"",.1,.25,76,"",2389.7,.04,214751,"",8290.5,.05,962241,"",4.3,.19,1803,"",,,,"",23508.8,,5077464,"*"
"1981","C","CPEL","WETF","NORTHERN ANCHOVY","NANC",,,,"",,,,"",,,,"",,,,"",211,.11,52518,"",4616.9,.03,270638,"",,,,"*",9077,.03,570031,"",38383.4,.03,2372880,"",,,,"*",,,,"",52288.3,,3266067,"*"
"1981","C","CPEL","WETF","PACIFIC BONITO","PBNT",,,,"",,,,"",,,,"",,,,"",,,,"*",.4,.39,375,"",1.8,.27,1078,"",91,.25,50519,"",6229.6,.27,3773174,"",1213.8,.28,746722,"",,,,"",7536.6,,4571868,"*"
"1981","C","CPEL","WETF","PACIFIC SARDINE","PSDN",,,,"",,,,"",,,,"",,,,"",,,,"*",,,,"",,,,"",,,,"*",14.7,.09,3010,"",,,,"",,,,"",14.7,,3010,"*"
"1981","C","CPEL","WETF","UNSP. MACKEREL","UMCK",,,,"",,,,"",,,,"*",,,,"",,,,"*",3.4,.26,1941,"",.6,.22,296,"",1.8,.31,1222,"",122.1,.11,29671,"",2.3,.32,1670,"",,,,"",130.2,,34800,"*"
"1981","C","CRAB","....","DUNGENESS CRAB","DCRB",2955.5,.87,5669592,"",1438.1,.89,2825726,"",172.4,.92,349623,"",50.8,1.23,137449,"",105.8,1.35,314675,"",7.1,.98,15359,"",4.5,1.07,10568,"",,,,"*",,,,"",,,,"*",,,,"",4734.2,,9322992,"*"
"1981","C","CRAB","....","OTHER CRAB","OCRB",,,,"",,,,"*",,,,"",,,,"",,,,"",,,,"",,,,"*",2.5,.41,2298,"",14.5,9.98,319137,"",,,,"",,,,"*",17,,321435,"*"
"1981","C","CRAB","....","ROCK CRAB","RCRB",,,,"",1.2,.4,1063,"",,,,"",,,,"",4.7,.29,2966,"",,,,"",86.9,.65,123755,"",239,.78,411662,"",172.6,.78,295206,"",119.3,.7,185300,"",,,,"",623.7,,1019952,""
"1981","C","CRAB","KCRB","UNSP. KING CRAB","UKCR",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"*",,,,"",,,,"",0,,0,"*"
"1981","C","GRND","FLAT","NOM. ARROWTOOTH FLOUNDER","ART1",,,,"*",21.9,.1,4820,"",1.5,.1,342,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"*",,,,"",23.4,,5162,"*"
"1981","C","GRND","FLAT","BUTTER SOLE","BSOL",7.9,.18,3216,"",,,,"*",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"*",,,,"",,,,"",7.9,,3216,"*"
"1981","C","GRND","FLAT","NOM. DOVER SOLE","DVR1",1402.8,.21,662174,"",4320.2,.22,2102975,"",1624.8,.23,815795,"",242.5,.23,121346,"",1093.7,.22,520923,"",516.2,.22,250224,"",60.8,.2,26585,"",,,,"*",,,,"",,,,"",,,,"",9261,,4500022,"*"
"1981","C","GRND","FLAT","NOM. ENGLISH SOLE","EGL1",234.5,.31,160213,"",342.1,.3,228678,"",148.8,.31,100698,"",99,.31,68110,"",475.6,.31,327177,"",203.8,.27,120936,"",91.3,.3,61079,"",116.5,.31,79300,"",,,,"*",,,,"",,,,"",1711.6,,1146191,"*"
"1981","C","GRND","FLAT","FANTAIL SOLE","FNTS",,,,"",,,,"",,,,"",,,,"",.1,.47,135,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",.1,,135,""
"1981","C","GRND","FLAT","OTHER FLATFISH","OFLT",,,,"",,,,"",,,,"",,,,"",,,,"*",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",0,,0,"*"
"1981","C","GRND","FLAT","NOM. PETRALE SOLE","PTR1",67.8,.54,80953,"",184.5,.51,206113,"",85,.51,95845,"",18.1,.53,21193,"",207,.51,231036,"",112.3,.48,118801,"",105.7,.51,118041,"",24.7,.52,28279,"",,,,"*",,,,"",,,,"",805.1,,900261,"*"
